Centroid,Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),fips_code,src_name,state
"{""type"":""Point"",""coordinates"":[-77.962969598,37.978601298]}","Louisa County, VA",750.0,0.0,70.0,70.0,820.0,51109,Louisa,VA
"{""type"":""Point"",""coordinates"":[-71.578520175,41.871368408]}","Providence County, RI",0.0,2.85,0.0,2.85,2.85,44007,Providence,RI
"{""type"":""Point"",""coordinates"":[-122.876628532,43.941551698]}","Lane County, OR",0.0,1.0,0.0,1.0,1.0,41039,Lane,OR
"{""type"":""Point"",""coordinates"":[-119.584275767,45.419002711]}","Morrow County, OR",0.0,877.0,300.0,1177.0,1177.0,41049,Morrow,OR
"{""type"":""Point"",""coordinates"":[-82.637758267,34.519301809]}","Anderson County, SC",0.0,18.0,0.0,18.0,18.0,45007,Anderson,SC
"{""type"":""Point"",""coordinates"":[-164.736740347,23.718640397]}","Honolulu County, HI",0.0,8.16,0.0,8.16,8.16,15003,Honolulu,HI
"{""type"":""Point"",""coordinates"":[-93.065440392,44.671894642]}","Dakota County, MN",2037.0,33.0,17.0,50.0,2087.0,27037,Dakota,MN
"{""type"":""Point"",""coordinates"":[-90.674937168,38.781946]}","St. Charles County, MO",0.0,5.0,0.0,5.0,5.0,29183,St. Charles,MO
"{""type"":""Point"",""coordinates"":[-89.945798072,32.264124363]}","Rankin County, MS",0.0,0.0,116.0,116.0,116.0,28121,Rankin,MS
"{""type"":""Point"",""coordinates"":[-73.970008762,40.774018256]}","New York County, NY",0.0,163.28,12.0,175.28,175.28,36061,New York,NY
"{""type"":""Point"",""coordinates"":[-121.722347036,48.046096017]}","Snohomish County, WA",0.0,27.0,0.0,27.0,27.0,53061,Snohomish,WA
"{""type"":""Point"",""coordinates"":[-117.403973079,47.620750459]}","Spokane County, WA",0.0,13.0,0.0,13.0,13.0,53063,Spokane,WA
"{""type"":""Point"",""coordinates"":[-119.664324637,40.665640025]}","Washoe County, NV",5.0,216.5,20.0,236.5,241.5,32031,Washoe,NV
"{""type"":""Point"",""coordinates"":[-80.776299439,41.014637865]}","Mahoning County, OH",0.0,0.45,0.0,0.45,0.45,39099,Mahoning,OH
"{""type"":""Point"",""coordinates"":[-105.052662858,39.954136996]}","Broomfield County, CO",0.0,29.1,0.0,29.1,29.1,8014,Broomfield,CO
"{""type"":""Point"",""coordinates"":[-104.337895379,39.873647146]}","Adams County, CO",170.0,33.5,0.0,33.5,203.5,8001,Adams,CO
"{""type"":""Point"",""coordinates"":[-82.301708462,32.589761905]}","Emanuel County, GA",0.0,8.0,0.0,8.0,8.0,13107,Emanuel,GA
"{""type"":""Point"",""coordinates"":[-79.087567956,40.651956515]}","Indiana County, PA",4500.0,0.0,0.0,0.0,4500.0,42063,Indiana,PA
"{""type"":""Point"",""coordinates"":[-120.99767552,37.559155851]}","Stanislaus County, CA",0.0,0.3,0.0,0.3,0.3,6099,Stanislaus,CA
"{""type"":""Point"",""coordinates"":[-85.993457742,41.915400328]}","Cass County, MI",0.0,28.0,272.0,300.0,300.0,26027,Cass,MI
"{""type"":""Point"",""coordinates"":[-103.480185887,48.343675248]}","Williams County, ND",460.0,300.0,565.0,865.0,1325.0,38105,Williams,ND
"{""type"":""Point"",""coordinates"":[-72.833666112,41.294470428]}","South Central Connecticut Planning Region, CT",0.0,0.25,0.0,0.25,0.25,9009,New Haven,CT
"{""type"":""Point"",""coordinates"":[-90.443440507,38.640658568]}","St. Louis County, MO",0.0,15.8,5.0,20.8,20.8,29189,St. Louis,MO
"{""type"":""Point"",""coordinates"":[-75.609210669,41.436690683]}","Lackawanna County, PA",780.0,0.0,0.0,0.0,780.0,42069,Lackawanna,PA
"{""type"":""Point"",""coordinates"":[-96.976826373,30.786302428]}","Milam County, TX",0.0,1263.0,179.0,1442.0,1442.0,48331,Milam,TX
"{""type"":""Point"",""coordinates"":[-87.646141025,41.89542868]}","Cook County, IL",2001.8,917.13,561.0,1478.13,3479.93,17031,Cook,IL
"{""type"":""Point"",""coordinates"":[-82.530099289,35.611180331]}","Buncombe County, NC",0.0,0.98,0.0,0.98,0.98,37021,Buncombe,NC
"{""type"":""Point"",""coordinates"":[-74.300869889,41.034349262]}","Passaic County, NJ",0.0,25.05,0.0,25.05,25.05,34031,Passaic,NJ
"{""type"":""Point"",""coordinates"":[-74.024220453,41.152545131]}","Rockland County, NY",24.0,84.0,0.0,84.0,108.0,36087,Rockland,NY
"{""type"":""Point"",""coordinates"":[-97.452056865,26.150865919]}","Cameron County, TX",60.0,0.7,60.0,60.7,120.7,48061,Cameron,TX
"{""type"":""Point"",""coordinates"":[-86.458886142,35.513796649]}","Bedford County, TN",0.0,10.0,10.0,20.0,20.0,47003,Bedford,TN
"{""type"":""Point"",""coordinates"":[-87.073325844,41.508839053]}","Porter County, IN",50.0,0.0,0.0,0.0,50.0,18127,Porter,IN
"{""type"":""Point"",""coordinates"":[-85.448362949,38.399387649]}","Oldham County, KY",600.0,0.0,0.0,0.0,600.0,21185,Oldham,KY
"{""type"":""Point"",""coordinates"":[-81.082917708,39.727347079]}","Monroe County, OH",695.0,0.0,0.0,0.0,695.0,39111,Monroe,OH
"{""type"":""Point"",""coordinates"":[-89.513447766,40.507483542]}","Tazewell County, IL",1000.0,0.0,0.0,0.0,1000.0,17179,Tazewell,IL
"{""type"":""Point"",""coordinates"":[-94.42333244,33.445757131]}","Bowie County, TX",0.0,2.0,0.0,2.0,2.0,48037,Bowie,TX
"{""type"":""Point"",""coordinates"":[-86.50997587,39.769517368]}","Hendricks County, IN",400.0,0.0,0.0,0.0,400.0,18063,Hendricks,IN
"{""type"":""Point"",""coordinates"":[-74.15936096,40.286159289]}","Monmouth County, NJ",0.0,10.6,0.0,10.6,10.6,34025,Monmouth,NJ
"{""type"":""Point"",""coordinates"":[-83.850186823,33.555049392]}","Newton County, GA",550.0,210.0,0.0,210.0,760.0,13217,Newton,GA
"{""type"":""Point"",""coordinates"":[-79.397119391,36.821297731]}","Pittsylvania County, VA",800.0,0.0,0.0,0.0,800.0,51143,Pittsylvania,VA
"{""type"":""Point"",""coordinates"":[-105.250469275,39.586431498]}","Jefferson County, CO",0.0,1.09,0.0,1.09,1.09,8059,Jefferson,CO
"{""type"":""Point"",""coordinates"":[-97.948584733,29.583050996]}","Guadalupe County, TX",1200.0,0.0,0.0,0.0,1200.0,48187,Guadalupe,TX
"{""type"":""Point"",""coordinates"":[-87.38288729,36.496856972]}","Montgomery County, TN",0.0,60.0,0.0,60.0,60.0,47125,Montgomery,TN
"{""type"":""Point"",""coordinates"":[-95.521203225,35.961090272]}","Wagoner County, OK",80.0,0.0,0.0,0.0,80.0,40145,Wagoner,OK
"{""type"":""Point"",""coordinates"":[-71.391743784,42.485536786]}","Middlesex County, MA",20.0,109.5,0.0,109.5,129.5,25017,Middlesex,MA
"{""type"":""Point"",""coordinates"":[-93.774788046,45.444000016]}","Sherburne County, MN",600.0,15.0,0.0,15.0,615.0,27141,Sherburne,MN
"{""type"":""Point"",""coordinates"":[-75.36728882,40.210816217]}","Montgomery County, PA",0.0,25.2,0.0,25.2,25.2,42091,Montgomery,PA
"{""type"":""Point"",""coordinates"":[-75.925998089,40.416295667]}","Berks County, PA",0.0,7.0,0.0,7.0,7.0,42011,Berks,PA
"{""type"":""Point"",""coordinates"":[-79.952155243,33.19713372]}","Berkeley County, SC",230.0,310.0,0.0,310.0,540.0,45015,Berkeley,SC
"{""type"":""Point"",""coordinates"":[-103.693167266,31.323186157]}","Reeves County, TX",0.0,207.0,79.0,286.0,286.0,48389,Reeves,TX
"{""type"":""Point"",""coordinates"":[-73.753386512,41.151545425]}","Westchester County, NY",0.0,9.1,0.0,9.1,9.1,36119,Westchester,NY
