Name,Operator,State,City,Power (MW),Whitespace (sqft),Type,Year Built,Year Rennovated,UPS,Cooling System,Zone
CyrusOne CIN4 - Hamilton,CyrusOne Data Centers,Ohio,Hamilton,4.725,47000,,,,,N+1,DEOK
CenterGrid - Hamilton,CenterGrid,Ohio,Hamilton,2,7500,,,,,,DEOK
Flexential Cincinnati Data Center,Flexential,Ohio,Hamilton,3.8,,,,,,N+1,DEOK
CBTS Mason Data Center,CBTS,Ohio,Mason,,,,,,,,DEOK
Aligned - 6770 Mink St,Aligned Data Centers,Ohio,Pataskala,,,,,,,,DEOK
Refugee Rd SW,Microsoft,Ohio,Pataskala,,,,,,,,DEOK
Ardent Pittsburgh,Ardent Data Centers,Pennsylvania,KcKees Rocks,20,42000,Colocation,1980,2008,N+1,,DLCO
TECfusions New Kensington,TECfusions,Pennsylvania,New kensington,200,500000,Hyperscale,,,,,DLCO
iM Critical Pittsburgh,iM Critical,Pennsylvania,Pittsburgh,10,50000,Colocation,2022,,N+1,N+1,DLCO
Expedient Pittsburgh South,Expedient Data Centers,Pennsylvania,Pittsburgh,1.8,12000,Colocation,2017,,2N+1,,DLCO
EdgeConneX Pittsburgh - EDCPIT01,EdgeConneX,Pennsylvania,Pittsburgh,1,4556,Colocation,1971,,N+1,N+1,DLCO
Expedient Pittsburgh North Shore,Expedient Data Centers,Pennsylvania,Pittsburgh,4.2,50700,Colocation,1969,2018,2N,,DLCO
DataBank PIT2 - Summit Park,DataBank,Pennsylvania,Pittsburgh,4.5,47100,Colocation,2001,,N+1,N+1,DLCO
Vantage VA3 - Ashburn III Campus,Vantage Data Centers,Virginia,Ashburn,288,,Hyperscale,2019,,N+1,N+2,DOM
NTT Ashburn VA2,NTT Global Data Centers,Virginia,Ashburn,14,70000,Colocation,2016,,N+2,N+2,DOM
Centersquare Ashburn Campus,Centersquare,Virginia,Ashburn,10,,Colocation,,,2N,,DOM
NTT Ashburn VA1,NTT Global Data Centers,Virginia,Ashburn,12.6,64723,Colocation,2000,2018,N+2,N+2,DOM
44461 Chilum Place (ACC6),Digital Realty,Virginia,Ashburn,26,135100,Colocation,2024,,N+2,N+2,DOM
44490 Chillum (ACC2),Digital Realty,Virginia,Ashburn,10.4,56800,Colocation,2005,2008,,,DOM
44521 Hastings Drive (ACC5),Digital Realty,Virginia,Ashburn,36.4,360000,Colocation,2008,,N+1,N+1,DOM
44520 Hastings (ACC3),Digital Realty,Virginia,Ashburn,13.9,85300,Colocation,2001,2008,,,DOM
Cologix ASH1-S,Cologix,Virginia,Ashburn,120,455000,Hyperscale,2023,,,,DOM
CyrusOne NVA14,CyrusOne Data Centers,Virginia,Ashburn,60,,,2023,,,,DOM
44480 Hastings Drive (ACC4),Digital Realty,Virginia,Ashburn,36.4,183900,Colocation,2007,,N+1,N+2,DOM
21625 Gresham Drive (ACC7),Digital Realty,Virginia,Ashburn,41.6,259200,Colocation,2013,,N+2,N+2,DOM
21745 Sir Timothy (ACC9),Digital Realty,Virginia,Ashburn,28.8,185500,Colocation,2016,,,,DOM
H5 Data Centers Ashburn,H5 Data Centers,Virginia,Ashburn,60,255000,,2024,,N+2,,DOM
21744 Sir Timothy (ACC10),Digital Realty,Virginia,Ashburn,27,174800,Colocation,2026,,2N+2,,DOM
CloudHQ LC Campus,CloudHQ,Virginia,Ashburn,1256,789676,Hyperscale,2018,2022,,,DOM
"44274 Round Table Plaza, Bldg L (IAD39)",Digital Realty,Virginia,Ashburn,96.3,469600,Colocation,2017,,N+1,N+1,DOM
"44372 Round Table Plaza, Bldg M (IAD40)",Digital Realty,Virginia,Ashburn,24,69600,Colocation,2019,,N+1,N+2,DOM
Aligned IAD-01,Aligned Data Centers,Virginia,Ashburn,60,,Colocation,2019,,N+2,,DOM
Quantum Connect,PowerHouse Data Centers,Virginia,Ashburn,20,,,2026,,,,DOM
DataBank IAD3 - Ashburn Campus,DataBank,Virginia,Ashburn,40,218920,Colocation,2023,,N+1,N+1,DOM
DataBank IAD1 - Ashburn,DataBank,Virginia,Ashburn,9.9,85330,Colocation,2009,,N+1,N+1,DOM
SDC Ashburn A,Sabey Data Center Properties LLC,Virginia,Ashburn,36,262191,Colocation,2026,,N+1,N+1,DOM
Aligned IAD-02,Aligned Data Centers,Virginia,Ashburn,120,283023,Hyperscale,2026,,2N+2,2N,DOM
